S. No.,Name,Location
P 178,Bhairab,Kapingchhe
P 179,Chopo Ganesh,Chapata
P 180,Ganesh,Yana Mugal
P 181,Yachhu Baha,Yachhu Tol
P 182,Nhu Baha,Yachhu Tol
P 183,Dathu Baha,Nuga
P 184,Twaya Baha,Nuga
P 185,Uma Maheswar,Nuga
P 186,Sundhara,Nuga
P 187,Uma Maheswar,Nuga
P 188,Bhindyo Baha,Nuga
P 189,Hyana Baha,Nuga
P 190,Tana Baha,Chanaki
P 191,Ganesh,Subaha
P 192,Su Baha,Subaha
P 193,Thakun Baha,Subaha
P 194,Kachhcha Baha,Subaha
P 195,Ganesh,Pinchhe
P 196,Guita Bahi,Guita
P 197,Dathu Baha,Guita
P 198,Gautala Maha Bihar,Guita
P 199,Chaitya,Guita
P 200,Balkumari,Kawachhe
P 201,Saraswati Mandir,Kawachhe
P 202,Chaitya,Guita
P 203,Ganesh,Guita
P 204,Ganesh,Guita
P 205,Pinchhe Baha,Pinchhe
P 206,Bhinchhe Baha,Bhinchhe Baha
P 207,Pilachhe Baha,Pilachhe
P 208,Pilachhe Baha,Pilachhe
P 209,Ganesh,Pilachhe
P 210,Pilachhe Baha,Pilachhe
P 211,Ganesh,Dupat Tol
P 212,Siddhilakshmi,Bhaginani
P 213,Ganesh,Tyaga
P 214,Bal Kumari Dyo Chhen,Tyaga
P 215,Ashok Stupa,Teta
P 216,Pandu Baha,Lukhusi
P 217,Ganesh,Hakata
P 218,Lok Nath ,Dhalachha 
P 219,Lakshmi Narayan,Dhalachha 
P 220,Narayan,Dhalachha 
P 221,Uma Maheswar,Nuga
P 222,Ela Bahi,Nuga
P 223,Yanga Baha,Lukhusi
P 224,Kani Baha,Uku Baha
P 225,Yatalibi Chaitya,Uku Baha
P 226,Uku Baha,Uku Baha
P 227,Uba Gathi Cha,Uku Baha
P 228,Ubaha Bahi,Uku Baha
P 229,Dunya Baha Shree Purna Chandra,Uku Baha
P 230,Dunya Bahi,Uku Baha
P 231,Jati Baha,Uku Baha
P 232,Nhu Baha,Uku Baha
P 233,Sri Gana Vihar ,Maha Baudha
P 234,Maha Baudha,Maha Baudha
P 235,Bhaju Dhana Baha,Uku Baha
P 236,Bhim Raj Baha,Uku Baha
P 237,Ichhe Baha - Taja Baha,Uku Baha
P 238,Nau Baha,Uku Baha
P 239,Dhana Baha,Gyatha Tol
P 240,Basu Baha,Gyatha Tol
P 241,Gyatha Baha,Gyatha Tol
P 242,Hiti Phusa Baha,Hiti Phusa
