S. No.,Name,Location
K 158,Budhanilkantha Naraya,Hanuman Dhoka
K 159,Mahadev,Hanuman Dhoka
K 160,Dasai Ghar,Hanuman Dhoka
K 161,Mool Chok,Hanuman Dhoka
K 162,Pancha Mukhi Hanuman,Hanuman Dhoka
K 163,Nasal Chok,Hanuman Dhoka
K 164,Basantapur Bhawan,Hanuman Dhoka
K 165,Kantipur Bhawan,Hanuman Dhoka
K 166,Bhaktapur Bhawan,Hanuman Dhoka
K 167,Lalitpur Bhawan,Hanuman Dhoka
K 168,Lohon Chok,Hanuman Dhoka
K 169,Nrisingh,Hanuman Dhoka
K 170,Aagan Mandir,Hanuman Dhoka
K 171,Mohan Chok,Hanuman Dhoka
K 172,Sundari Chok,Hanuman Dhoka
K 173,Hanuman,Hanuman Dhoka
K 174,Jagannath,Hanuman Dhoka
K 175,Gopi Nath,Hanuman Dhoka
K 176,Mahadev,Hanuman Dhoka
K 177,Kal Bhairab,Hanuman Dhoka
K 178,Lakshmi Narayan,Hanuman Dhoka
K 179,Degu Talle Mandir,Hanuman Dhoka
K 180,Sweta Bhairab,Hanuman Dhoka
K 181,Chasin Dega,Hanuman Dhoka
K 182,Saraswati,Hanuman Dhoka
K 183,Krishna,Hanuman Dhoka
K 184,Taga Gan,Maru Tole
K 185,Layaku Bahi,Maru Tole
K 186,Nava Jogini,Maru Tole
K 187,Bhagvati,Maru Tole
K 188,Kumari,Maru Tole
K 189,Narayan,Maru Tole
K 190,Joshi Agan,Maru Tole
K 191,Maju Dega ,Maru Tole
K 192,Garud Narayan,Maru Tole
K 193,Ashok Binayak,Maru Tole
K 194,Durga,Maru Tole
K 195,Agan Dyo,Maru Tole
K 196,Shivaling,Maru Tole
K 197,Kashtha Mandap,Maru Tole
K 198,Mahadev,Maru Tole
K 199,Silyan Sata,Maru Tole
K 200,Dhansa,Maru Tole
K 201,Bimaleswar Mahadev,Maru Tole
K 202,Narayan,Maru Tole
K 203,Sikhonmu Baha,Maru Tole
K 204,Kumari Baha,Basantapur
K 205,Kumari Dyo Chhen,Basantapur
K 206,Bania Baha,Basantapur
K 207,Saraswati,Basantapur
K 208,Aagan Dega,Basantapur
K 209,Jho Chhen Baha,Jho Chhen
K 210,Na Bahi,Na Bahi
K 211,Na Bacha,Na Bahi
K 212,Watum Baha,Jorganesh
K 213,Jorganesh,Jorganesh
K 214,Nriteswar,Jorganesh
K 215,Nhuchhen Baha,Jorganesh
K 216,Twake Baha,Om Baha
K 217,Guva Baha,Om Baha
K 218,Mim Nani,Om Baha
K 219,Biswakarma Baha,Om Baha
K 220,Om Baha,Om Baha
K 221,Punchhen Baha,Om Baha
K 222,Ratnapur Maha Bihar,Ganchenani
K 223,Buddha Kanti Maha Bihar,Ganchenani
K 224,Bhon Baha,Om Baha
K 225,Thana Baha,Chikan Mugal
K 226,Narayan,Chikan Mugal
K 227,Joreswar,Chikan Mugal
K 228,Adko Narayan,Chikan Mugal
K 229,Hari Shankar,Chikan Mugal
K 230,Bajra Jogini,Chikan Mugal
K 231,Nhu Baha,Chikan Mugal
K 232,Lakhe Nani,Majipat
K 233,Mikha Baha,Manjeswari
K 234,Jya Baha,Jya Baha
K 235,Manjeswari,Manjeswari
K 236,Sho Baha,Yangal-Manjeswari
K 237,Yanga Hiti,Yangal
K 238,Iku Baha,Yangal
K 239,Chaitanya Maha Bihar,Jya Baha
K 240,Khalachhen Baha,Lagan
K 241,Jog Baha,Lagan
K 242,Wantan Baha,Lagan
K 243,Lagan Baha,Lagan
K 244,Machhendra Nath,Lagan
K 245,Nhayakan Bahi,Lagan
K 246,Chwakan Bahi,Lagan
K 247,Ta Baha,Lagan
K 248,Yata Baha,Gophale
K 249,Bhagwati,Gophale
K 250,Na Baha,Gophale
K 251,Pikha Baha,Brahma Tol
K 252,Bare Nani,Musum Baha
K 253,Bhala Nani,Musum Baha
K 254,Musum Baha,Musum Baha
K 255,Musum Baha,Musum Baha
K 256,Dhan Chakra Baha,Musum Baha
K 257,Matu Ajima,Pachali
K 258,Pachali Bhairab,Pachali
K 259,Jagannath Mandir,Pachali
K 260,Radha Krishna Mandir,Teku
K 261,Teku Dobhan Baha,Teku
K 262,Lakshmiswar Mahadev,Bagmati
K 263,Pachali Ghat,Bagmati
K 264,Narayan,Pachali Ghat
K 265,Shiva,Pachali Ghat
K 266,Panchalinga Mahadev,Pachali Ghat
K 267,Banbikateswar Mahadev,Pachali Ghat
K 268,Raj Tirtha,Bagmati
K 269,Shivalinga,Pachali Ghat
K 270,Ram Mandir,Hanuman Ghat
K 271,Radha Krishna Mandir,Bhagwateswar Ghat
K 272,Dakshin Kali,Kali Ghat
K 273,Puret Ghat Shiva Mandir,Puret Ghat
K 274,Purneshwar Mahadev,Bagmati
K 275,Radha Krishna Mandir,Tripureswar
K 276,Tripura Sundari,Tripureswar
K 277,Shivalinga Mandir,Tripureswar
K 278,Kalmochan Ghat,Kal Mochan Ghat
K 279,Narmadeshwar Shivalinga,Kal Mochan Ghat
K 280,Jange Hiranta Hem Narayan ,Kal Mochan Ghat
K 281,Gopal Mandir,"Bagmati, Thapathali"
K 282,Bairagi Akhada,"Bagmati, Thapathali"
K 283,Udasi Akhada,"Bagmati, Thapathali"
K 284,Sanyasi Akhada,"Bagmati, Thapathali"
K 285,Gorakhnath Mandir,Thapathali
K 286,Bhadra Kali,Tundikhel
K 287,Mahakal,Tundikhel
K 288,Shiva Mandir,Rani Pokhari
K 289,Bhairab Mandir,Rani Pokhari
K 290,Bhairab Mandir,Rani Pokhari
K 291,Maha Lakshmi,Rani Pokhari
K 292,Buddhi Ganesh,Rani Pokhari
K 293,Kamaladi Ganesh,Kamaladi
K 294,Jamo Bahal,Jamal
K 295,Narayan Hiti,Narayan Hiti
K 296,Narayan Mandir,Narayan Hiti
K 297,Ganesh,Paknajol
K 298,Mhepi Ajima,Mhepi
K 299,Nani Keshar Bahal,Naxal
K 300,Nandi Keshar Bahal,Naxal
K 301,Bhagwati,Naxal
K 302,Maiti Devi,Dilli Bazar
K 303,Ananda Bhairab,Gyaneshwar
K 304,Gyaneswar Mahadev,Gyaneshwar
K 305,Mana Maneswar,Tangal
K 306,Gahana Khojne Pokhari,Tangal
K 307,Bhagwati,Hadigaon
K 308,Satya Narayan,Hadigaon
K 309,Krishna,Hadigaon
K 310,Banesh,Hadigaon
K 311,Dhanantari,Hadigaon
K 312,Bhimsen Mandir,Hadigaon
K 313,Ganesh,Gairi Dhara
K 314,Bhatbhateni,Tangal
K 315,Dhum Varahi,Bishal Nagar
K 316,Tunal Devi,Bishal Nagar
K 317,Bhim Mukteswar,Kalimati
K 318,Tankeswari,Tahachal
K 319,Khusi Bahi,Tahachal
K 320,Bijeswari,Vishnumati
K 321,Shoba Bhagwati,Vishnumati
K 322,Swayambhu Stupa,Swayambhu Hill
K 323,Swayambhu Gumba,Swayambhu Hill
K 324,Singu Bahi,Swayambhu Hill
K 325,Harati Ajima,Swayambhu Hill
K 326,Shantipur,Swayambhu Hill
K 327,Karmaraj Gumba,Swayambhu Hill
K 328,Pratappur,Swayambhu Hill
K 329,Anantapur,Swayambhu Hill
K 330,Maitri Gumba,Swayambhu Hill
K 331,Manjusri,Swayambhu Hill
K 332,Dharma Chakra Vihar,Swayambhu Hill
K 333,Pulan Singu,Swayambhu Hill
K 334,Ananda Kuti,Swayambhu Hill
K 335,Kindol Vihar,Swayambhu Hill
K 336,Jagat Uddhar Mahavihar,Swayambhu Hill
